Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama-3.1-8b-instruct,lidar,second,60,22,64
llama-3.1-8b-instruct,lidar,third,0,0,3
llama-3.1-8b-instruct,rigid_highway,first,13,62,0
llama-3.1-8b-instruct,rigid_highway,second,76,12,82
llama-3.1-8b-instruct,rigid_highway,third,78,40,79
llama-3.1-8b-instruct,pendulum,first,14,22,14
llama-3.1-8b-instruct,pendulum,second,57,40,65
llama-3.1-8b-instruct,pendulum,third,19,72,11
llama-3.1-8b-instruct,hmmwv,first,1,4,10
llama-3.1-8b-instruct,hmmwv,second,37,14,19
llama-3.1-8b-instruct,hmmwv,third,75,80,24
llama-3.1-8b-instruct,turtlebot,first,0,32,6
llama-3.1-8b-instruct,turtlebot,second,49,67,61
llama-3.1-8b-instruct,turtlebot,third,11,34,20
llama-3.1-8b-instruct,mass_spring_damper,first,39,17,0
llama-3.1-8b-instruct,mass_spring_damper,second,66,80,71
llama-3.1-8b-instruct,mass_spring_damper,third,30,52,54
llama-3.1-8b-instruct,tablecloth,first,7,14,18
llama-3.1-8b-instruct,tablecloth,second,28,73,34
llama-3.1-8b-instruct,tablecloth,third,1,13,63
llama-3.1-8b-instruct,kraz,first,24,16,0
llama-3.1-8b-instruct,kraz,second,73,28,29
llama-3.1-8b-instruct,kraz,third,80,32,34
llama-3.1-8b-instruct,camera,first,24,7,7
llama-3.1-8b-instruct,camera,second,0,89,53
llama-3.1-8b-instruct,camera,third,0,56,0
llama-3.1-8b-instruct,buckling,first,19,15,0
llama-3.1-8b-instruct,buckling,second,56,82,90
llama-3.1-8b-instruct,buckling,third,77,3,59
llama-3.1-8b-instruct,gator,first,10,16,50
llama-3.1-8b-instruct,gator,second,65,75,61
llama-3.1-8b-instruct,gator,third,75,40,65
llama-3.1-8b-instruct,slider_crank,first,0,10,0
llama-3.1-8b-instruct,slider_crank,second,43,17,28
llama-3.1-8b-instruct,slider_crank,third,17,81,65
llama-3.1-8b-instruct,feda,first,2,21,13
llama-3.1-8b-instruct,feda,second,35,0,42
llama-3.1-8b-instruct,feda,third,80,66,59
deepseek-r1-8b,scm,first,0,22,50
deepseek-r1-8b,scm,second,66,82,16
deepseek-r1-8b,scm,third,12,66,41
deepseek-r1-8b,citybus,first,5,0,4
deepseek-r1-8b,citybus,second,71,28,58
deepseek-r1-8b,citybus,third,15,39,48
deepseek-r1-8b,gps_imu,first,11,55,16
deepseek-r1-8b,gps_imu,second,66,64,60
deepseek-r1-8b,gps_imu,third,78,84,24
deepseek-r1-8b,rotor,first,0,5,8
deepseek-r1-8b,rotor,second,61,38,35
deepseek-r1-8b,rotor,third,0,40,43
deepseek-r1-8b,rigid_multipatches,first,15,56,13
deepseek-r1-8b,rigid_multipatches,second,71,66,56
deepseek-r1-8b,rigid_multipatches,third,60,57,57
deepseek-r1-8b,cable,first,12,32,4
deepseek-r1-8b,cable,second,57,66,67
deepseek-r1-8b,cable,third,54,67,53
deepseek-r1-8b,sensros,first,100,20,0
deepseek-r1-8b,sensros,second,30,41,63
deepseek-r1-8b,sensros,third,26,67,60
deepseek-r1-8b,scm_hill,first,2,43,39
deepseek-r1-8b,scm_hill,second,29,55,14
deepseek-r1-8b,scm_hill,third,46,68,60
deepseek-r1-8b,veh_app,first,0,2,4
deepseek-r1-8b,veh_app,second,26,59,34
deepseek-r1-8b,veh_app,third,40,95,71
deepseek-r1-8b,gear,first,21,0,54
deepseek-r1-8b,gear,second,25,100,98
deepseek-r1-8b,gear,third,30,51,11
deepseek-r1-8b,art,first,40,80,0
deepseek-r1-8b,art,second,5,52,48
deepseek-r1-8b,art,third,58,22,38
deepseek-r1-8b,man,first,0,0,8
deepseek-r1-8b,man,second,12,62,28
deepseek-r1-8b,man,third,68,100,59
deepseek-r1-8b,curiosity,first,13,58,4
deepseek-r1-8b,curiosity,second,31,25,43
deepseek-r1-8b,curiosity,third,35,68,62
deepseek-r1-8b,vehros,first,5,18,3
deepseek-r1-8b,vehros,second,48,68,3
deepseek-r1-8b,vehros,third,21,34,7
deepseek-r1-8b,uazbus,first,40,42,2
deepseek-r1-8b,uazbus,second,20,83,77
deepseek-r1-8b,uazbus,third,81,78,24
deepseek-r1-8b,handler,first,14,61,0
deepseek-r1-8b,handler,second,59,100,82
deepseek-r1-8b,handler,third,0,61,52
deepseek-r1-8b,beam,first,2,19,48
deepseek-r1-8b,beam,second,16,66,48
deepseek-r1-8b,beam,third,45,93,23
deepseek-r1-8b,particles,first,13,45,4
deepseek-r1-8b,particles,second,53,36,43
deepseek-r1-8b,particles,third,93,77,39
deepseek-r1-8b,m113,first,10,62,51
deepseek-r1-8b,m113,second,27,61,25
deepseek-r1-8b,m113,third,74,55,32
deepseek-r1-8b,sedan,first,2,19,9
deepseek-r1-8b,sedan,second,25,62,32
deepseek-r1-8b,sedan,third,13,47,48
deepseek-r1-8b,viper,first,40,5,8
deepseek-r1-8b,viper,second,55,93,62
deepseek-r1-8b,viper,third,37,47,63
deepseek-r1-8b,lidar,first,0,25,0
deepseek-r1-8b,lidar,second,62,71,15
deepseek-r1-8b,lidar,third,2,15,29
deepseek-r1-8b,rigid_highway,first,7,0,48
deepseek-r1-8b,rigid_highway,second,8,20,2
deepseek-r1-8b,rigid_highway,third,33,91,63
deepseek-r1-8b,pendulum,first,14,0,23
deepseek-r1-8b,pendulum,second,9,55,60
deepseek-r1-8b,pendulum,third,33,67,55
deepseek-r1-8b,hmmwv,first,0,33,12
deepseek-r1-8b,hmmwv,second,23,39,59
deepseek-r1-8b,hmmwv,third,8,40,68
deepseek-r1-8b,turtlebot,first,8,8,49
deepseek-r1-8b,turtlebot,second,54,70,17
deepseek-r1-8b,turtlebot,third,14,37,30
deepseek-r1-8b,mass_spring_damper,first,15,11,8
deepseek-r1-8b,mass_spring_damper,second,0,23,2
deepseek-r1-8b,mass_spring_damper,third,69,30,58
deepseek-r1-8b,tablecloth,first,25,61,30
deepseek-r1-8b,tablecloth,second,21,46,32
deepseek-r1-8b,tablecloth,third,17,25,60
deepseek-r1-8b,kraz,first,0,56,48
deepseek-r1-8b,kraz,second,52,62,57
deepseek-r1-8b,kraz,third,6,43,52
deepseek-r1-8b,camera,first,0,16,23
deepseek-r1-8b,camera,second,58,97,57
deepseek-r1-8b,camera,third,61,15,53
deepseek-r1-8b,buckling,first,0,54,49
deepseek-r1-8b,buckling,second,53,38,55
deepseek-r1-8b,buckling,third,0,55,12
deepseek-r1-8b,gator,first,0,42,9
deepseek-r1-8b,gator,second,12,99,20
deepseek-r1-8b,gator,third,95,82,53
deepseek-r1-8b,slider_crank,first,9,22,22
deepseek-r1-8b,slider_crank,second,62,96,53
deepseek-r1-8b,slider_crank,third,17,60,13
deepseek-r1-8b,feda,first,16,51,4
deepseek-r1-8b,feda,second,52,49,39
deepseek-r1-8b,feda,third,77,31,65
